"WO/SO #","Customer","Invoice#","Outgoing Form#","Invoice Date"
"SO-20260244","Autowash Holdings, LLC","","",""
"SO-20260216","Re:Build Manufacturing","","",""
"SO-20260247","EOG Resources","","",""
"SO-20260248","PickNik Robotics","","",""
"SO-20260249","Genesis Automation","","",""
"SO-20260254","Daitron, Inc.","","",""
"SO-20260257","PT Papertech Inc.","","",""
"SO-20260258","Ank Solutions","","",""
"SO-20260264","Textron Specialized Vehicles Inc.","","",""
"SO-20250327","Noah Medical Corporation","","",""
"SO-20260263","Dedrone","","",""
"SO-20260265","Rivian","","",""
"SO-20260266","Carnegie Robotics","","",""
"SO-20260267","Carnegie Robotics","","",""
"SO-20260268","M3 Technology","","",""
"SO-20260269","The Imaging Source, LLC","","",""
"SO-20260272","Applied Intuition, Inc.","","",""
"SO-20260273","Laserax","","",""
"SO-20260277","Transduction","","",""
"SO-20260276","Winpak Portion Packaging, Inc.","","",""
"SO-20260274","Arete","","",""
"SO-20260279","Neya Systems","","",""
"SO-20260280","Flyscan Systems Inc.","","",""
"SO-20260281","SHI International Corp","","",""
"SO-20260278","Bluewater Autonomy","","",""
"SO-20260286","Eos Energy Enterprises","","",""
"SO-20260283","Dedrone","","",""
"SO-20260284","Automated Environments","","",""
"SO-20260290","Honeywell International Inc","","",""
"SO-20260291","Honeywell International Inc","","",""
"SO-20260289","Win Reality Inc.","","",""
"SO-20260292","Amentum Services Inc","","",""
"SO-20260293","Globus Medical","","",""
"SO-20260296","Aerflite Canada Inc.","","",""
"SO-20260298","InflexionPoint, LLC","","",""
"SO-20260299","InflexionPoint, LLC","","",""
"SO-20260302","RC Mowers","","",""
"SO-20260303","iba LAT","","",""
"SO-20260305","Boston Scientific","","",""
"SO-20260307","MEDATech/Borterra","","",""
"SO-20260308","COAST Automation","","",""
"SO-20260320","MEDATech/Borterra","","",""
"SO-20260319","Boston Scientific","","",""
"SO-20260323","Applied Intuition, Inc.","","",""
"SO-20260324","Vermeer Corporation","","",""
"SO-20260325","Aeva","","",""
"SO-20260309","Automated Environments","","",""
"SO-20260310","Automated Environments","","",""
"SO-20260311","Automated Environments","","",""
"SO-20260312","Automated Environments","","",""
"SO-20260313","Automated Environments","","",""
"SO-20260314","Automated Environments","","",""
"SO-20260315","Automated Environments","","",""
"SO--20260327","UltraFlex Power Technologies","","",""
"SO-20260328","Sigma Defense Systems LLC","","",""
"SO-20260329","Applied Intuition, Inc.","","",""
